Square,Amps
-5.2061E+00,1.87046E-04
-5.2041E+00,2.06143E-04
-5.2021E+00,2.05275E-04
-5.2001E+00,1.99199E-04
-5.1981E+00,2.02671E-04
-5.1961E+00,2.00935E-04
-5.1941E+00,1.84442E-04
-5.1920E+00,1.90518E-04
-5.1900E+00,1.89650E-04
-5.1880E+00,1.84442E-04
-5.1860E+00,1.87914E-04
-5.1840E+00,2.08748E-04
-5.1820E+00,1.99199E-04
-5.1799E+00,1.93123E-04
-5.1779E+00,1.97463E-04
-5.1759E+00,1.89650E-04
-5.1739E+00,1.78366E-04
-5.1719E+00,1.89650E-04
-5.1699E+00,1.92254E-04
-5.1679E+00,1.83574E-04
-5.1658E+00,1.90518E-04
-5.1638E+00,2.00935E-04
-5.1618E+00,2.05275E-04
-5.1598E+00,2.03539E-04
-5.1578E+00,2.09616E-04
-5.1558E+00,1.90518E-04
-5.1538E+00,1.80102E-04
-5.1517E+00,1.90518E-04
-5.1497E+00,1.86178E-04
-5.1477E+00,1.78366E-04
-5.1457E+00,1.85310E-04
-5.1437E+00,1.98331E-04
-5.1417E+00,1.93991E-04
-5.1397E+00,1.87046E-04
-5.1376E+00,2.09616E-04
-5.1356E+00,2.75588E-04
-5.1336E+00,1.88782E-04
-5.1316E+00,1.87046E-04
-5.1296E+00,1.88782E-04
-5.1276E+00,1.80970E-04
-5.1255E+00,1.92254E-04
-5.1235E+00,2.04407E-04
-5.1215E+00,1.98331E-04
-5.1195E+00,1.90518E-04
-5.1175E+00,2.11352E-04
-5.1155E+00,1.81838E-04
-5.1135E+00,1.79234E-04
-5.1114E+00,1.86178E-04
-5.1094E+00,1.77498E-04
-5.1074E+00,1.67949E-04
-5.1054E+00,1.95727E-04
-5.1034E+00,2.03539E-04
-5.1014E+00,1.98331E-04
-5.0994E+00,1.87914E-04
-5.0973E+00,2.02671E-04
-5.0953E+00,1.74025E-04
-5.0933E+00,1.78366E-04
-5.0913E+00,1.79234E-04
-5.0893E+00,1.85310E-04
-5.0873E+00,1.74893E-04
-5.0853E+00,2.07879E-04
-5.0832E+00,2.00935E-04
-5.0812E+00,1.95727E-04
-5.0792E+00,1.87046E-04
-5.0772E+00,1.98331E-04
-5.0752E+00,1.76629E-04
-5.0732E+00,1.84442E-04
-5.0712E+00,1.74893E-04
-5.0691E+00,1.89650E-04
-5.0671E+00,1.74893E-04
-5.0651E+00,1.98331E-04
-5.0631E+00,1.89650E-04
-5.0611E+00,1.93123E-04
-5.0591E+00,1.84442E-04
-5.0570E+00,2.03539E-04
-5.0550E+00,1.74025E-04
-5.0530E+00,1.85310E-04
-5.0510E+00,1.87914E-04
-5.0490E+00,1.88782E-04
-5.0470E+00,1.80102E-04
-5.0450E+00,2.12220E-04
-5.0429E+00,1.99199E-04
-5.0409E+00,2.71248E-04
-5.0389E+00,2.20032E-04
-5.0369E+00,2.07011E-04
-5.0349E+00,1.74025E-04
-5.0329E+00,1.87046E-04
-5.0309E+00,1.90518E-04
-5.0288E+00,1.91386E-04
-5.0268E+00,1.79234E-04
-5.0248E+00,2.08748E-04
-5.0228E+00,1.98331E-04
-5.0208E+00,1.92254E-04
-5.0188E+00,1.82706E-04
-5.0168E+00,1.94859E-04
-5.0147E+00,1.70553E-04
-5.0127E+00,1.79234E-04
-5.0107E+00,1.80970E-04
-5.0087E+00,1.82706E-04
-5.0067E+00,1.82706E-04
-5.0047E+00,2.10484E-04
-5.0026E+00,2.01803E-04
-5.0006E+00,2.04407E-04
-4.9986E+00,2.00935E-04
-4.9966E+00,2.05275E-04
-4.9946E+00,1.78366E-04
-4.9926E+00,1.97463E-04
-4.9906E+00,1.99199E-04
-4.9885E+00,1.88782E-04
-4.9865E+00,1.84442E-04
-4.9845E+00,2.10484E-04
-4.9825E+00,2.07011E-04
-4.9805E+00,2.07011E-04
-4.9785E+00,2.04407E-04
